link,Address,Latitude,Longitude,Price,#Bed,#Bath,Square Foot,Year Built,date1,price1,date2,price2,date3,price3,date4,price4,date5,price5,date6,price6,date7,price7,absolute,link1,ZestYear 2015,ZestPrice 2015,ZestYear 2020,ZestPrice 2020
https://www.zillow.com/homedetails/2801-1st-Ave-APT-807-Seattle-WA-98121/58383286_zpid/,2801 1st Ave APT 807 Seattle WA 98121,47.616412,-122.3522988,525000,1,1,719,2001,9/9/2020,525000,8/27/2020,535000,8/15/2020,550000,8/4/2020,565000,7/16/2020,575000,7/9/2020,600000,7/3/2020,610000,96,https://www.zillow.com/homedetails/2801-1st-Ave-APT-807-Seattle-WA-98121/58383286_zpid/,2015,360.8,2020,541.5
https://www.zillow.com/homedetails/699-John-St-UNIT-106-Seattle-WA-98109/92571106_zpid/,699 John St UNIT 106 Seattle WA 98109,47.6193017,-122.3441208,525000,1,1,837,2009,8/14/2020,525000,7/10/2017,2195,7/6/2017,2195,8/8/2014,335000,7/10/2014,310000,7/4/2014,310000,10/28/2009,255000,97,https://www.zillow.com/homedetails/699-John-St-UNIT-106-Seattle-WA-98109/92571106_zpid/,2015,352.8,2020,528.2
https://www.zillow.com/homedetails/2143-N-Northlake-Way-APT-55-Seattle-WA-98103/81919687_zpid/,2143 N Northlake Way APT 55 Seattle WA 98103,47.6471085,-122.3325745,525000,2,1,600,1984,8/30/2020,525000,8/2/2020,699000,7/23/2016,415000,5/16/2016,399950,5/14/2016,399950,,,,,98,https://www.zillow.com/homedetails/2143-N-Northlake-Way-APT-55-Seattle-WA-98103/81919687_zpid/,2015,225.8,2020,387.5
https://www.zillow.com/homedetails/3312-NE-123rd-St-APT-A-Seattle-WA-98125/80259857_zpid/,3312 NE 123rd St APT A Seattle WA 98125,47.717686,-122.291644,529000,3,3,1330,2007,9/2/2020,529000,8/27/2020,546000,8/20/2020,554000,8/15/2020,569500,11/6/2019,2150,10/16/2019,2150,10/10/2019,2390,99,https://www.zillow.com/homedetails/3312-NE-123rd-St-APT-A-Seattle-WA-98125/80259857_zpid/,2015,342.1,2020,468.5
https://www.zillow.com/homedetails/201-Galer-St-APT-241-Seattle-WA-98109/70585439_zpid/,201 Galer St APT 241 Seattle WA 98109,47.6319655,-122.3520303,529000,1,1,808,1908,8/8/2020,529000,7/31/2020,559800,11/23/2015,406000,9/30/2011,235000,7/19/2011,398434,5/26/2011,235000,3/29/2011,275000,100,https://www.zillow.com/homedetails/201-Galer-St-APT-241-Seattle-WA-98109/70585439_zpid/,2015,359.8,2020,556.1
https://www.zillow.com/homedetails/13306-1st-Ave-NE-Seattle-WA-98125/48757769_zpid/,13306 1st Ave NE Seattle WA 98125,47.7252838,-122.3285679,529500,3,1,1120,1952,9/13/2020,529500,9/30/2016,353500,,,,,,,,,,,101,https://www.zillow.com/homedetails/13306-1st-Ave-NE-Seattle-WA-98125/48757769_zpid/,2015,340.8,2020,530.1
https://www.zillow.com/homedetails/150-Melrose-Ave-E-APT-204-Seattle-WA-98102/48962323_zpid/,150 Melrose Ave E APT 204 Seattle WA 98102,47.6199157,-122.3275333,530000,2,2,1017,1978,9/11/2020,530000,9/3/2020,2500,8/15/2020,2500,7/23/2020,2600,7/13/2019,2600,6/13/2019,2600,7/27/2018,2300,102,https://www.zillow.com/homedetails/150-Melrose-Ave-E-APT-204-Seattle-WA-98102/48962323_zpid/,2015,351.1,2020,480
https://www.zillow.com/homedetails/819-Virginia-St-UNIT-1807-Seattle-WA-98101/80123794_zpid/,819 Virginia St UNIT 1807 Seattle WA 98101,47.6160267,-122.3357138,535000,1,1,800,2007,9/6/2020,535000,8/18/2020,540000,8/12/2020,540000,8/10/2020,540000,7/24/2020,559000,9/26/2011,240000,7/14/2011,240000,103,https://www.zillow.com/homedetails/819-Virginia-St-UNIT-1807-Seattle-WA-98101/80123794_zpid/,2015,455.2,2020,578.2
https://www.zillow.com/homedetails/5950-California-Ave-SW-UNIT-A-Seattle-WA-98136/112749251_zpid/,5950 California Ave SW UNIT A Seattle WA 98136,47.5488468,-122.3867647,535000,2,3,1110,2011,9/9/2020,535000,8/14/2020,560000,7/31/2020,575000,5/19/2018,550000,4/21/2018,500000,4/18/2018,500000,3/9/2012,249000,104,https://www.zillow.com/homedetails/5950-California-Ave-SW-UNIT-A-Seattle-WA-98136/112749251_zpid/,2015,323.9,2020,563.2
https://www.zillow.com/homedetails/76-Cedar-St-UNIT-410-Seattle-WA-98121/82365946_zpid/,76 Cedar St UNIT 410 Seattle WA 98121,47.6156052,-122.3516944,538000,1,1,778,2008,9/11/2020,538000,8/29/2020,548000,8/8/2020,559000,10/13/2017,560000,9/14/2017,499000,9/8/2017,499000,3/7/2014,252000,105,https://www.zillow.com/homedetails/76-Cedar-St-UNIT-410-Seattle-WA-98121/82365946_zpid/,2015,315.2,2020,616.9
https://www.zillow.com/homedetails/2504-Western-Ave-APT-422-Seattle-WA-98121/2145974041_zpid/,2504 Western Ave APT 422 Seattle WA 98121,47.6143886,-122.3495665,539000,2,1,764,1998,7/10/2020,539000,11/16/2019,559000,10/2/2019,559000,9/4/2019,575000,7/26/2019,595000,9/27/2008,369900,8/9/2008,369900,106,https://www.zillow.com/homedetails/2504-Western-Ave-APT-422-Seattle-WA-98121/2145974041_zpid/,2015,408.4,2020,539.2
https://www.zillow.com/homedetails/9634-59th-Ave-S-Seattle-WA-98118/49016775_zpid/,9634 59th Ave S Seattle WA 98118,47.5156521,-122.259088,540000,3,2,1730,1926,9/12/2020,540000,12/2/2019,2300,11/5/2019,2300,10/31/2012,205000,7/23/2012,215000,4/25/2012,215000,5/16/2007,320000,107,https://www.zillow.com/homedetails/9634-59th-Ave-S-Seattle-WA-98118/49016775_zpid/,2015,248.1,2020,563.7
https://www.zillow.com/homedetails/202-25th-Ave-E-APT-A-Seattle-WA-98112/49099099_zpid/,202 25th Ave E APT A Seattle WA 98112,47.6203404,-122.2995107,540000,2,2,1012,1981,8/29/2020,540000,8/15/2020,550000,7/3/2018,2395,6/17/2018,2395,10/27/2014,289900,10/23/1997,103500,,,108,https://www.zillow.com/homedetails/202-25th-Ave-E-APT-A-Seattle-WA-98112/49099099_zpid/,2015,300,2020,574.2
https://www.zillow.com/homedetails/410-NE-70th-St-APT-606-Seattle-WA-98115/67703941_zpid/,410 NE 70th St APT 606 Seattle WA 98115,47.6794632,-122.3242286,545000,1,1,705,2003,8/30/2020,545000,7/30/2015,414200,6/28/2015,395000,6/12/2015,395000,8/26/2014,355000,5/13/2004,299500,,,109,https://www.zillow.com/homedetails/410-NE-70th-St-APT-606-Seattle-WA-98115/67703941_zpid/,2015,372.8,2020,511.2
https://www.zillow.com/homedetails/2853-SW-Adams-St-Seattle-WA-98126/49130608_zpid/,2853 SW Adams St Seattle WA 98126,47.566,-122.3703674,545000,3,1,1880,1917,9/10/2020,545000,3/6/2015,98126,2/11/2015,339000,2/7/2015,339000,1/27/2015,339000,1/25/2015,339000,1/24/2015,339900,110,https://www.zillow.com/homedetails/2853-SW-Adams-St-Seattle-WA-98126/49130608_zpid/,2015,378.1,2020,629.7
https://www.zillow.com/homedetails/5901-Phinney-Ave-N-APT-204-Seattle-WA-98103/49139746_zpid/,5901 Phinney Ave N APT 204 Seattle WA 98103,47.6721661,-122.3547475,545000,2,2,825,1985,8/4/2020,545000,4/30/2015,345000,4/14/2015,310000,4/7/2015,310000,11/15/2011,262000,11/6/2011,265000,10/20/2011,265000,111,https://www.zillow.com/homedetails/5901-Phinney-Ave-N-APT-204-Seattle-WA-98103/49139746_zpid/,2015,295.7,2020,461.5
https://www.zillow.com/homedetails/2001-Westlake-Ave-N-UNIT-33-Seattle-WA-98109/49099138_zpid/,2001 Westlake Ave N UNIT 33 Seattle WA 98109,47.6368555,-122.3408103,545000,2,1,900,1967,7/21/2020,545000,5/9/2019,499993,5/9/2019,492000,5/8/2019,492000,4/24/2019,499993,3/14/2019,499993,9/2/2011,2100,112,https://www.zillow.com/homedetails/2001-Westlake-Ave-N-UNIT-33-Seattle-WA-98109/49099138_zpid/,2015,279,2020,514.4
